"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","163,500.00","163,500.00","166,000.00","161,000.00","","0.00%"
"10/30/2023","163,500.00","163,500.00","166,000.00","161,000.00","","0.00%"
"10/27/2023","163,500.00","163,500.00","166,000.00","161,000.00","","-0.61%"
"10/26/2023","164,500.00","164,500.00","167,000.00","162,000.00","","-0.60%"
"10/25/2023","165,500.00","165,500.00","168,000.00","163,000.00","","0.61%"
"10/24/2023","164,500.00","164,500.00","167,000.00","162,000.00","","0.00%"
"10/23/2023","164,500.00","164,500.00","167,000.00","162,000.00","","-2.37%"
"10/20/2023","168,500.00","168,500.00","171,000.00","166,000.00","","-1.75%"
"10/19/2023","171,500.00","171,500.00","174,000.00","169,000.00","","-1.72%"
"10/18/2023","174,500.00","174,500.00","177,000.00","172,000.00","","0.00%"
"10/17/2023","174,500.00","174,500.00","177,000.00","172,000.00","","1.16%"
"10/16/2023","172,500.00","172,500.00","175,000.00","170,000.00","","1.77%"
"10/13/2023","169,500.00","169,500.00","172,000.00","167,000.00","","1.80%"
"10/12/2023","166,500.00","166,500.00","169,000.00","164,000.00","","0.00%"
"10/11/2023","166,500.00","166,500.00","169,000.00","164,000.00","","0.00%"
"10/10/2023","166,500.00","166,500.00","169,000.00","164,000.00","","0.00%"
"10/09/2023","166,500.00","166,500.00","169,000.00","164,000.00","","0.00%"
"09/27/2023","166,500.00","166,500.00","169,000.00","164,000.00","","-1.77%"
"09/26/2023","169,500.00","169,500.00","172,000.00","167,000.00","","0.00%"
"09/25/2023","169,500.00","169,500.00","172,000.00","167,000.00","","-1.74%"
"09/22/2023","172,500.00","172,500.00","175,000.00","170,000.00","","-0.58%"
"09/21/2023","173,500.00","173,500.00","176,000.00","171,000.00","","-1.70%"
"09/20/2023","176,500.00","176,500.00","179,000.00","174,000.00","","-1.12%"
"09/19/2023","178,500.00","178,500.00","181,000.00","176,000.00","","-2.19%"
"09/18/2023","182,500.00","182,500.00","185,000.00","180,000.00","","-1.62%"
"09/14/2023","185,500.00","185,500.00","188,000.00","183,000.00","","-0.54%"
"09/13/2023","186,500.00","186,500.00","189,000.00","184,000.00","","-1.58%"
"09/12/2023","189,500.00","189,500.00","192,000.00","187,000.00","","-2.57%"
"09/11/2023","194,500.00","194,500.00","197,000.00","192,000.00","","-2.99%"
"09/08/2023","200,500.00","200,500.00","203,000.00","198,000.00","","0.00%"
"09/07/2023","200,500.00","200,500.00","203,000.00","198,000.00","","0.00%"
"09/06/2023","200,500.00","200,500.00","203,000.00","198,000.00","","-0.50%"
"09/05/2023","201,500.00","201,500.00","204,000.00","199,000.00","","0.00%"
"09/04/2023","201,500.00","201,500.00","204,000.00","199,000.00","","0.00%"
"09/01/2023","201,500.00","201,500.00","204,000.00","199,000.00","","0.00%"
"08/31/2023","201,500.00","201,500.00","204,000.00","199,000.00","","-0.49%"
"08/30/2023","202,500.00","202,500.00","205,000.00","200,000.00","","-2.41%"
"08/29/2023","207,500.00","207,500.00","210,000.00","205,000.00","","-1.89%"
"08/28/2023","211,500.00","211,500.00","214,000.00","209,000.00","","-2.76%"
"08/25/2023","217,500.00","217,500.00","220,000.00","215,000.00","","0.00%"
"08/24/2023","217,500.00","217,500.00","220,000.00","215,000.00","","0.00%"
"08/23/2023","217,500.00","217,500.00","220,000.00","215,000.00","","0.00%"
"08/22/2023","217,500.00","217,500.00","220,000.00","215,000.00","","0.00%"
"08/21/2023","217,500.00","217,500.00","220,000.00","215,000.00","","0.00%"
"08/18/2023","217,500.00","217,500.00","220,000.00","215,000.00","","-4.40%"
"08/17/2023","227,500.00","227,500.00","230,000.00","225,000.00","","-2.99%"
"08/16/2023","234,500.00","234,500.00","237,000.00","232,000.00","","-2.49%"
